base_of_logarithm;czas obliczeń;największa liczba użytych wyrazów;iteracja uzyskania nalepszego wyniku;średnie wykorzystanie słów przy odnalezieniu najlepszego rozwiązania
2;53.840441012382506;300.0;16.5;263.808
3;47.52176792621613;300.0;11.2;261.956
4;51.02737810611725;300.0;14.2;262.78000000000003
5;47.497893404960635;300.0;11.1;261.45799999999997
7;50.53964207172394;300.0;13.9;261.965
10;51.4245242357254;300.0;14.6;260.57800000000003
13;50.0565701007843;299.6;13.4;261.297
16;50.335390996932986;299.6;13.8;261.038
20;51.31464712619781;300.0;14.0;259.499
25;47.77990610599518;299.2;11.3;261.28799999999995
